occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;notes;types
2268c229b85b4c443e3f54efba4df044e078bd6d;800fe7709d24529a5f5803b6d68aff2753612a8a;66a5cdc421b6412c18b5615ce169d41b;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;node::::tools/node_modules/eslint/node_modules/@jridgewell/sourcemap-codec/package.json::::devDependencies::::@typescript-eslint/parser::::@typescript-eslint/parser:5.10.0 <-> node::::tools/node_modules/eslint/node_modules/@jridgewell/trace-mapping/package.json::::devDependencies::::@typescript-eslint/parser::::@typescript-eslint/parser:5.10.0;tools/node_modules/eslint/node_modules/@jridgewell/trace-mapping/package.json;node::::tools/node_modules/eslint/node_modules/@jridgewell/trace-mapping/package.json::::devDependencies::::@typescript-eslint/parser(location: 54);git show 2268c229b85b4c443e3f54efba4df044e078bd6d -- tools/node_modules/eslint/node_modules/@jridgewell/trace-mapping/package.json;yes;library version changed;version number
135372da5243e6066d7af87d8c21502111602b0f;3615522180d3822fc849576d172516240c4ffe3c;a66b6b74c94200556f7f1b2bac5260ed;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;node::::tools/node_modules/eslint/node_modules/@es-joy/jsdoccomment/package.json::::devDependencies::::@babel/preset-env::::@babel/preset-env:^7.17.12 <-> node::::tools/node_modules/eslint/node_modules/eslint-plugin-jsdoc/package.json::::devDependencies::::@babel/preset-env::::@babel/preset-env:^7.17.12;tools/node_modules/eslint/node_modules/eslint-plugin-jsdoc/package.json;node::::tools/node_modules/eslint/node_modules/eslint-plugin-jsdoc/package.json::::devDependencies::::@babel/preset-env(location: 24);git show 135372da5243e6066d7af87d8c21502111602b0f -- tools/node_modules/eslint/node_modules/eslint-plugin-jsdoc/package.json;yes;library version changed;version number
369c0cc04a1508f77c2b874fce61e1542f44a0f0;5086f4ad4a292823c8846a3de95c7f50f887e53b;04feec52948917a80a614186073bde23;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;node::::tools/eslint/node_modules/minimatch/package.json::::_npmVersion::::3.3.2 <-> node::::tools/eslint/node_modules/rimraf/package.json::::_npmVersion::::3.3.2;tools/eslint/node_modules/rimraf/package.json;node::::tools/eslint/node_modules/rimraf/package.json::::_npmVersion(location: 22);git show 369c0cc04a1508f77c2b874fce61e1542f44a0f0 -- tools/eslint/node_modules/rimraf/package.json;yes;npmVersion changed;unknown
eb60fe8891d6ccde62f11f7846277d6570e6abab;6c64cc2205a42f88ebee34250c188f45534d9227;f5b21ce6065efc44a1f87e732cf5e60d;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;node::::tools/node_modules/babel-eslint/node_modules/globals/package.json::::version::::version:11.11.0 <-> node::::tools/node_modules/eslint/node_modules/globals/package.json::::version::::version:11.11.0;tools/node_modules/eslint/node_modules/globals/package.json;node::::tools/node_modules/eslint/node_modules/globals/package.json::::version(location: 44);git show eb60fe8891d6ccde62f11f7846277d6570e6abab -- tools/node_modules/eslint/node_modules/globals/package.json;yes;file version changed;version number
0a839a5a1f1e6fdac581e39f224d3f6688ac2126;36f84976aba94876b7f1210227499693d40be32c;8cb5da9f5cb850b300376ee56e40d116;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;node::::tools/node_modules/eslint/node_modules/onetime/package.json::::devDependencies::::ava::::ava:* <-> node::::tools/node_modules/eslint/node_modules/path-key/package.json::::devDependencies::::ava::::ava:*;tools/node_modules/eslint/node_modules/onetime/package.json;node::::tools/node_modules/eslint/node_modules/onetime/package.json::::devDependencies::::ava(location: 17);git show 0a839a5a1f1e6fdac581e39f224d3f6688ac2126 -- tools/node_modules/eslint/node_modules/onetime/package.json;yes;library version changed;version number
8acce040c98455d0297522af90144c654243840f;1e3f6d9d2ab9dd47ec80d885e18ebfbc31f877f2;ad064ca4268de5ecfbf3c677ee40698f;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;node::::tools/node_modules/eslint/node_modules/bail/package.json::::devDependencies::::browserify::::browserify:^14.0.0 <-> node::::tools/node_modules/eslint/node_modules/vfile/package.json::::devDependencies::::browserify::::browserify:^14.0.0;tools/node_modules/eslint/node_modules/bail/package.json;node::::tools/node_modules/eslint/node_modules/bail/package.json::::devDependencies::::browserify(location: 45);git show 8acce040c98455d0297522af90144c654243840f -- tools/node_modules/eslint/node_modules/bail/package.json;yes;library version changed;version number
369c0cc04a1508f77c2b874fce61e1542f44a0f0;5086f4ad4a292823c8846a3de95c7f50f887e53b;59fa477c77b8834413ea449df8b5df72;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;node::::tools/eslint/node_modules/minimatch/package.json::::_requested::::rawSpec::::^3.0.0 <-> node::::tools/eslint/node_modules/strip-ansi/package.json::::_requested::::rawSpec::::^3.0.0;tools/eslint/node_modules/minimatch/package.json;node::::tools/eslint/node_modules/minimatch/package.json::::_requested::::rawSpec(location: 23);git show 369c0cc04a1508f77c2b874fce61e1542f44a0f0 -- tools/eslint/node_modules/minimatch/package.json;borderline;not sure if other part of the link is the same library;unknown
369c0cc04a1508f77c2b874fce61e1542f44a0f0;5086f4ad4a292823c8846a3de95c7f50f887e53b;f1ac1c9b6f4d7d4841825b74298da474;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;node::::tools/eslint/node_modules/minimatch/package.json::::_where::::/Users/mzasso/git/forks/node/node_modules/eslint <-> node::::tools/eslint/node_modules/strip-json-comments/package.json::::_where::::/Users/mzasso/git/forks/node/node_modules/eslint;tools/eslint/node_modules/strip-json-comments/package.json;node::::tools/eslint/node_modules/strip-json-comments/package.json::::_where(location: 35);git show 369c0cc04a1508f77c2b874fce61e1542f44a0f0 -- tools/eslint/node_modules/strip-json-comments/package.json;yes;path changed;unknown
b301bfad691dcd3763f277a54cd8d53f85c3776e;3d03eead5160c425a8837cd64e25932d7dc74e7b;62919a5f0bad3902ae4758d370514fed;ModifiedOptionConflict;ConfigType.COMMAND<->ConfigType.COMMAND;node::::tools/eslint/node_modules/isarray/package.json::::scripts::::test::::tap test/*.js <-> node::::tools/eslint/node_modules/text-table/package.json::::scripts::::test::::tap test/*.js;tools/eslint/node_modules/isarray/package.json;node::::tools/eslint/node_modules/isarray/package.json::::scripts::::test(location: 78);git show b301bfad691dcd3763f277a54cd8d53f85c3776e -- tools/eslint/node_modules/isarray/package.json;yes;command changed for test script;command
df1b2f0a69581de41e6185aba8dc405502a71e15;ac06bb864e85452cf4f19abd7796a0b606d77443;de067811ad8be29bf215df30e25380e7;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;node::::tools/node_modules/eslint/node_modules/trim-trailing-lines/package.json::::devDependencies::::nyc::::nyc:^14.0.0 <-> node::::tools/node_modules/eslint/node_modules/unist-util-visit/package.json::::devDependencies::::nyc::::nyc:^14.0.0;tools/node_modules/eslint/node_modules/trim-trailing-lines/package.json;node::::tools/node_modules/eslint/node_modules/trim-trailing-lines/package.json::::devDependencies::::nyc(location: 23);git show df1b2f0a69581de41e6185aba8dc405502a71e15 -- tools/node_modules/eslint/node_modules/trim-trailing-lines/package.json;yes;library version changed;version number
