occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;notes;types
6755f9ab1d5d5eb9862becb098b4f81d34b661ae;461ee97684d5d4dc182d96b245c5f2d04d1c8802;8d0f002cef5bac171b617fb6b8fc5231;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::packages/vue-template-compiler/package.json::::dependencies::::he::::he:^1.1.0 <-> vue::::packages/weex-template-compiler/package.json::::dependencies::::he::::he:^1.1.0;packages/vue-template-compiler/package.json;vue::::packages/vue-template-compiler/package.json::::dependencies::::he(location: 25);git show 6755f9ab1d5d5eb9862becb098b4f81d34b661ae -- packages/vue-template-compiler/package.json;yes;library version changed;version number
0ba8abd04e8339c4fa909a67c9afd6c0e4d25b6b;3aa97aa9ea9ce94d8c50fceec40bab35a997bfca;9d2407dbef7ec6431449f16cedbf51ac;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.0.0-beta.8 <-> vue::::packages/vue-template-compiler/package.json::::version::::version:2.0.0-beta.8;packages/vue-template-compiler/package.json;vue::::packages/vue-template-compiler/package.json::::version(location: 3);git show 0ba8abd04e8339c4fa909a67c9afd6c0e4d25b6b -- packages/vue-template-compiler/package.json;yes;file version changed;version number
6f34aef29cca92c2bfcc6e6195de7f4283966d3b;b494666b1f3f1868226b6a6a63d284e3736f60a9;37120b6086f4595df6eb86d13a095563;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.5.4 <-> vue::::packages/vue-template-compiler/package.json::::version::::version:2.5.4;packages/vue-template-compiler/package.json;vue::::packages/vue-template-compiler/package.json::::version(location: 3);git show 6f34aef29cca92c2bfcc6e6195de7f4283966d3b -- packages/vue-template-compiler/package.json;yes;file version changed;version number
b34db326621d93dc3ab5df38df4e674c345a58aa;5a193a18ab82db45019289d78bc402e7f13d888b;db0c4de261e8010699b7e65bab0e14a0;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.0.0-rc.8 <-> vue::::packages/vue-template-compiler/package.json::::version::::version:2.0.0-rc.8;packages/vue-template-compiler/package.json;vue::::packages/vue-template-compiler/package.json::::version(location: 3);git show b34db326621d93dc3ab5df38df4e674c345a58aa -- packages/vue-template-compiler/package.json;yes;file version changed;version number
d87b42cf0a2762308e33680cc190633fdb08786b;c8b3da26adc8f1be1740c8f60a9d2b1b3df450a4;e23412fafad6217b6c81631a177562be;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.5.14 <-> vue::::packages/vue-template-compiler/package.json::::version::::version:2.5.14;packages/vue-template-compiler/package.json;vue::::packages/vue-template-compiler/package.json::::version(location: 3);git show d87b42cf0a2762308e33680cc190633fdb08786b -- packages/vue-template-compiler/package.json;yes;file version changed;version number
290e38f2af962dd7fa465bd32dca26c9dbbe16d7;9bcaa717b3340f1954b09b282532d96cc11771f7;66a7d1ada76bfccb203d556fef89b9c8;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::devDependencies::::serialize-javascript::::serialize-javascript:^3.1.0 <-> vue::::packages/vue-server-renderer/package.json::::dependencies::::serialize-javascript::::serialize-javascript:^3.1.0;package.json;vue::::package.json::::devDependencies::::serialize-javascript(location: 141);git show 290e38f2af962dd7fa465bd32dca26c9dbbe16d7 -- package.json;yes;library version changed;version number
51f76ece037140f68f5dfd87d9584c78fa54bde0;60efe210a21a7f27624c3973da98d24de4e13e85;9739e93e5ef2720d63f620ef5b593f53;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.3.2 <-> vue::::packages/vue-template-compiler/package.json::::version::::version:2.3.2;packages/vue-template-compiler/package.json;vue::::packages/vue-template-compiler/package.json::::version(location: 3);git show 51f76ece037140f68f5dfd87d9584c78fa54bde0 -- packages/vue-template-compiler/package.json;yes;file version changed;version number
8d9506927ec525d8f9b2fea63b64d841556bc9e2;ca07ddf887aec495500591918fb51de58d9e1b43;b52c533dd40602bb637b35dcf6efa3d3;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.0.0-rc.3 <-> vue::::packages/vue-template-compiler/package.json::::version::::version:2.0.0-rc.3;packages/vue-template-compiler/package.json;vue::::packages/vue-template-compiler/package.json::::version(location: 3);git show 8d9506927ec525d8f9b2fea63b64d841556bc9e2 -- packages/vue-template-compiler/package.json;yes;file version changed;version number
d100b9f4e38c3e2494368e181ff4a8684399d5a2;57fa9289c89c8198dcd1e929a6d6affe077b045b;e24671067f42afe35274b9ad4ea3cd16;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;vue::::packages/vue-template-compiler/types/tsconfig.json::::compilerOptions::::target::::es5 <-> vue::::tsconfig.json::::compilerOptions::::target::::es5;tsconfig.json;vue::::tsconfig.json::::compilerOptions::::target(location: 6);git show d100b9f4e38c3e2494368e181ff4a8684399d5a2 -- tsconfig.json;yes;compilerOptions target changed;unknown
7869c3501e501a8ce5dd3ead96b6cfa0475595d8;9e3bc2b4fccbfa89fb45e5244bd6f00117fa22b8;5a24343a13a6a0b881769e0531896507;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.0.2 <-> vue::::packages/vue-template-compiler/package.json::::version::::version:2.0.2;packages/vue-template-compiler/package.json;vue::::packages/vue-template-compiler/package.json::::version(location: 3);git show 7869c3501e501a8ce5dd3ead96b6cfa0475595d8 -- packages/vue-template-compiler/package.json;yes;file version changed;version number
55f488ce401f1a620c1ffb9eff428298120b67d5;22826ef11fa2507a20d8d3685ef75eeca072e8e9;f93976576c55fe7c9dc75611fc8435bc;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.5.10 <-> vue::::packages/vue-template-compiler/package.json::::version::::version:2.5.10;packages/vue-template-compiler/package.json;vue::::packages/vue-template-compiler/package.json::::version(location: 3);git show 55f488ce401f1a620c1ffb9eff428298120b67d5 -- packages/vue-template-compiler/package.json;yes;file version changed;version number
51f76ece037140f68f5dfd87d9584c78fa54bde0;60efe210a21a7f27624c3973da98d24de4e13e85;aea12a8e2aab5fccf2e9d4873cd12515;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.3.2 <-> vue::::packages/vue-server-renderer/package.json::::version::::version:2.3.2;packages/vue-server-renderer/package.json;vue::::packages/vue-server-renderer/package.json::::version(location: 3);git show 51f76ece037140f68f5dfd87d9584c78fa54bde0 -- packages/vue-server-renderer/package.json;yes;file version changed;version number
6691a603a3ec76258c2efebb7c164b39bc8470f5;c97d9edd2da1adc8f086c2d718721e13cce82185;b57feb3dd57f0aeb700022bf1b0483d4;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.1.6 <-> vue::::packages/vue-template-compiler/package.json::::version::::version:2.1.6;packages/vue-template-compiler/package.json;vue::::packages/vue-template-compiler/package.json::::version(location: 3);git show 6691a603a3ec76258c2efebb7c164b39bc8470f5 -- packages/vue-template-compiler/package.json;yes;file version changed;version number
df424ffd7a82a2106a38fe4b7cb9ec380a815a27;ecc4ad18134087da88ec2b392e0c431ad708a31c;1023955c8cc6c3315c493d861c5cbc32;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.5.8 <-> vue::::packages/vue-server-renderer/package.json::::version::::version:2.5.8;packages/vue-server-renderer/package.json;vue::::packages/vue-server-renderer/package.json::::version(location: 3);git show df424ffd7a82a2106a38fe4b7cb9ec380a815a27 -- packages/vue-server-renderer/package.json;yes;file version changed;version number
e17c9cf23369086f30b3c3dbd0cd14ccc5697aa3;c3a1f2980258c93d95ea11b85e72b75946e71433;2b09bf0f5382455f85a8fb8fbd852a32;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.6.1 <-> vue::::packages/vue-template-compiler/package.json::::version::::version:2.6.1;packages/vue-template-compiler/package.json;vue::::packages/vue-template-compiler/package.json::::version(location: 3);git show e17c9cf23369086f30b3c3dbd0cd14ccc5697aa3 -- packages/vue-template-compiler/package.json;yes;file version changed;version number
dacd77ab65742f7e916159702b37f3d190e21690;44378dcc0fa5c613f2bf6fb02b1d1ef0475694fd;610799e8fcb4a2a43e5e7236d35e428c;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.6.10 <-> vue::::packages/vue-template-compiler/package.json::::version::::version:2.6.10;packages/vue-template-compiler/package.json;vue::::packages/vue-template-compiler/package.json::::version(location: 3);git show dacd77ab65742f7e916159702b37f3d190e21690 -- packages/vue-template-compiler/package.json;yes;file version changed;version number
06dede8a5af8ed51e4b88f05f789317c8ac465b5;b6435305605182af41903e64aa5811008138e45e;b0fa216f51a77a04fd3c38a8ffaa4bea;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.4.0 <-> vue::::packages/vue-server-renderer/package.json::::version::::version:2.4.0;packages/vue-server-renderer/package.json;vue::::packages/vue-server-renderer/package.json::::version(location: 3);git show 06dede8a5af8ed51e4b88f05f789317c8ac465b5 -- packages/vue-server-renderer/package.json;yes;file version changed;version number
a03adc5ebc1b4a3e45e68ed933f11d07af3c7c3f;f131970157bec91cd2b10fdf29523fc0fcb08a87;7fa2a915b6340f7a47513e2338bee557;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::devDependencies::::chalk::::chalk:^1.1.3 <-> vue::::packages/vue-server-renderer/package.json::::dependencies::::chalk::::chalk:^1.1.3;package.json;vue::::package.json::::devDependencies::::chalk(location: 73);git show a03adc5ebc1b4a3e45e68ed933f11d07af3c7c3f -- package.json;yes;library version changed;version number
b7a0773b970812e5ff7a066f5bad650b13335ae1;7ba9484b41fc67f4747ed834fe9ae360e9109756;94ec41140637b646be992ca4761174b8;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.5.3 <-> vue::::packages/vue-server-renderer/package.json::::version::::version:2.5.3;packages/vue-server-renderer/package.json;vue::::packages/vue-server-renderer/package.json::::version(location: 3);git show b7a0773b970812e5ff7a066f5bad650b13335ae1 -- packages/vue-server-renderer/package.json;yes;file version changed;version number
7b4ed6f8925682bac2c8674e0c29130dad51dec6;16b74d1e1eff358d14ff58e33219b3f2bc5c11db;d30133c14e6766b4c3e5b309b0004007;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.2.0 <-> vue::::packages/vue-server-renderer/package.json::::version::::version:2.2.0;packages/vue-server-renderer/package.json;vue::::packages/vue-server-renderer/package.json::::version(location: 3);git show 7b4ed6f8925682bac2c8674e0c29130dad51dec6 -- packages/vue-server-renderer/package.json;yes;file version changed;version number
bfe0dc5b405c960e8c1044761c6ab32502ac985a;566702c9cb25dec4564bb71be22ced0ab13c9c62;8c1b063b963d43e3a2a47b5ff1070b0b;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.1.5 <-> vue::::packages/vue-server-renderer/package.json::::version::::version:2.1.5;packages/vue-server-renderer/package.json;vue::::packages/vue-server-renderer/package.json::::version(location: 3);git show bfe0dc5b405c960e8c1044761c6ab32502ac985a -- packages/vue-server-renderer/package.json;yes;file version changed;version number
8c207fb7562333aa35de09a288e386fe0fb8231e;899d12a161510a2c3752442011a88b4d15867948;62ea571ffa3d92da9d62743f0572d7aa;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.3.0-beta.1 <-> vue::::packages/vue-template-compiler/package.json::::version::::version:2.3.0-beta.1;packages/vue-template-compiler/package.json;vue::::packages/vue-template-compiler/package.json::::version(location: 3);git show 8c207fb7562333aa35de09a288e386fe0fb8231e -- packages/vue-template-compiler/package.json;yes;file version changed;version number
ed4dbdad05db1f154c939f62edbf8ce3cfa94542;0b348506ac50b26c5227414dc513f1feb8d0b23f;62a6fb60ed87aa3c4f55bb1b1272485f;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.0.0-alpha.1 <-> vue::::packages/vue-template-compiler/package.json::::version::::version:2.0.0-alpha.1;packages/vue-template-compiler/package.json;vue::::packages/vue-template-compiler/package.json::::version(location: 3);git show ed4dbdad05db1f154c939f62edbf8ce3cfa94542 -- packages/vue-template-compiler/package.json;yes;file version changed;version number
3c37cd6902960d9cf11dfb0f99e304c5db8220a7;a3e6d4a0b43fccb0cc8b3ebcd13e1d4d912ae756;e6f608600bb51425121c00aba90300f3;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.2.1 <-> vue::::packages/vue-server-renderer/package.json::::version::::version:2.2.1;packages/vue-server-renderer/package.json;vue::::packages/vue-server-renderer/package.json::::version(location: 3);git show 3c37cd6902960d9cf11dfb0f99e304c5db8220a7 -- packages/vue-server-renderer/package.json;yes;file version changed;version number
b6bf0779d535926d28e7bbdbeb28d606809c484d;4980cf839f50b77b6052d90f7527d391d9c9e704;24102fea47bd8bf7a55b2fab6fa807d4;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;vue::::packages/vue-template-compiler/types/tsconfig.json::::compilerOptions::::module::::commonjs <-> vue::::types/tsconfig.json::::compilerOptions::::module::::commonjs;types/tsconfig.json;vue::::types/tsconfig.json::::compilerOptions::::module(location: 7);git show b6bf0779d535926d28e7bbdbeb28d606809c484d -- types/tsconfig.json;yes;compilerOptions module changed;unknown
