occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating ;note;type
6274ac92fefce320f928fe47ee0d8afef9666e24;d2bd9cf2fbfe20b88122ff1c0ca296fc3d1aa8fe;e3cebbdea83e7d7269c8e7b8bd5732e5;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;nest::::integration/injector/package.json::::dependencies::::@nestjs/microservices::::@nestjs/microservices:6.1.1 <-> nest::::package.json::::dependencies::::@nestjs/microservices::::@nestjs/microservices:6.1.1;integration/injector/package.json;nest::::integration/injector/package.json::::dependencies::::@nestjs/microservices(location: 12);git show 6274ac92fefce320f928fe47ee0d8afef9666e24 -- integration/injector/package.json;yes;library version changed;version number
42a31d433b4caa4770ee42d6d2b554670d1792d9;9afd1d07a7126500db84040b7ae0de615940b5ea;503ca81a179ca57c6e77dfb98cadf115;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;nest::::package.json::::version::::version:5.7.1 <-> nest::::packages/common/package.json::::version::::version:5.7.1;packages/common/package.json;nest::::packages/common/package.json::::version(location: 3);git show 42a31d433b4caa4770ee42d6d2b554670d1792d9 -- packages/common/package.json;yes;file version changed;version number
98b47089405d8957dacea093166b2d30e7845d01;eb636dd556b7f6c6a14778eab1633aa792edf2a8;2982c217e341002e7d91ec3b84c8a23d;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;nest::::package.json::::version::::version:6.10.13 <-> nest::::packages/platform-express/package.json::::version::::version:6.10.13;packages/platform-express/package.json;nest::::packages/platform-express/package.json::::version(location: 3);git show 98b47089405d8957dacea093166b2d30e7845d01 -- packages/platform-express/package.json;yes;file version changed;version number
368ec52437af615312ec26e468bddb07485055cc;cdc64102f7fe1cc89a5d21c794a8fdc1c77867b1;738e5e36c592bc8b936249b50e46a3ee;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;nest::::package.json::::version::::version:5.7.4 <-> nest::::packages/common/package.json::::version::::version:5.7.4;packages/common/package.json;nest::::packages/common/package.json::::version(location: 3);git show 368ec52437af615312ec26e468bddb07485055cc -- packages/common/package.json;yes;file version changed;version number
91a3e2edf0dc46ea54ad0170f4f0eb0030ac10ce;718089b5233b07c1e1da7af915a2ee14e70c7cd0;c6409cc884236c2fbba88218e5258278;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;nest::::package.json::::version::::version:6.8.0 <-> nest::::packages/platform-ws/package.json::::version::::version:6.8.0;packages/platform-ws/package.json;nest::::packages/platform-ws/package.json::::version(location: 3);git show 91a3e2edf0dc46ea54ad0170f4f0eb0030ac10ce -- packages/platform-ws/package.json;yes;file version changed;version number
f90bde936c26d1802ef3c168e840bfd1b5f59f64;6240869232385532c70668ab790e495b05102637;7ebc6f23e3b890f38e15a253df85ad51;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;nest::::lib/core/package.json::::version::::version:4.5.8 <-> nest::::package.json::::version::::version:4.5.8;lib/core/package.json;nest::::lib/core/package.json::::version(location: 3);git show f90bde936c26d1802ef3c168e840bfd1b5f59f64 -- lib/core/package.json;yes;file version changed;version number
3c7f8563904432bc2ad2d050653c326ba6948f97;59baf0aa5d4ff5aaa225429b9e5eccbd5912ee07;121bff445b1d6c6f9e69cc9de5153d97;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;nest::::package.json::::version::::version:9.0.0 <-> nest::::packages/websockets/package.json::::version::::version:9.0.0;packages/websockets/package.json;nest::::packages/websockets/package.json::::version(location: 3);git show 3c7f8563904432bc2ad2d050653c326ba6948f97 -- packages/websockets/package.json;yes;file version changed;version number
8ff3e71f062bf10a3b1b8f26a7b55008d6bb3d06;6d7e6b9207f07fa795b94d114ff7267c7551942f;5d8dfa53c39e1348aa37c437c25d0ff3;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;nest::::package.json::::version::::version:8.0.6 <-> nest::::packages/platform-ws/package.json::::version::::version:8.0.6;packages/platform-ws/package.json;nest::::packages/platform-ws/package.json::::version(location: 3);git show 8ff3e71f062bf10a3b1b8f26a7b55008d6bb3d06 -- packages/platform-ws/package.json;yes;file version changed;version number
e330c557aa9f11203036c80e86267b8c19cbe2ea;77187afeddae37315510209485f2465bb1528322;c6bb6447bb809491f3be5b562e8e8dbb;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;nest::::integration/hello-world/package.json::::dependencies::::@nestjs/websockets::::@nestjs/websockets:^5.0.0 <-> nest::::integration/websockets/package.json::::dependencies::::@nestjs/websockets::::@nestjs/websockets:^5.0.0;integration/websockets/package.json;nest::::integration/websockets/package.json::::dependencies::::@nestjs/websockets(location: 14);git show e330c557aa9f11203036c80e86267b8c19cbe2ea -- integration/websockets/package.json;yes;library version changed;version number
68ca11614c76f3cbe72fb062369d916f843778e3;54340d4069def182033ad9cf4841b6d7cbd9adae;63ba061ebc384ecd8db985f2577198ba;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;nest::::package.json::::version::::version:7.4.0 <-> nest::::packages/platform-ws/package.json::::version::::version:7.4.0;packages/platform-ws/package.json;nest::::packages/platform-ws/package.json::::version(location: 3);git show 68ca11614c76f3cbe72fb062369d916f843778e3 -- packages/platform-ws/package.json;yes;file version changed;version number
e1c8f8245f7a893f289d7e686cdfce652cbeb293;9ba742d92ed762baa53d4e5021b82c39d8bfdfa9;184074dc313bc9b6793b95756aab78cc;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;nest::::package.json::::version::::version:8.2.3 <-> nest::::packages/microservices/package.json::::version::::version:8.2.3;packages/microservices/package.json;nest::::packages/microservices/package.json::::version(location: 3);git show e1c8f8245f7a893f289d7e686cdfce652cbeb293 -- packages/microservices/package.json;yes;file version changed;version number
ed32b92fda00a75398d83060c5d3a05981c9f2c2;5a75ea4b6ea23a126d79d07bc3dec0ea8e796468;9ac0c549c03cccbbe8cc8921fb0bf7ba;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;nest::::package.json::::version::::version:6.6.2 <-> nest::::packages/platform-ws/package.json::::version::::version:6.6.2;packages/platform-ws/package.json;nest::::packages/platform-ws/package.json::::version(location: 3);git show ed32b92fda00a75398d83060c5d3a05981c9f2c2 -- packages/platform-ws/package.json;yes;file version changed;version number
d875526a494e0e4ba0f94186a3ce1968e1ef776a;40aac8ca77918abdb7efaba75d2359909b7934d7;ec0da014c8cfb2e7d09c0ebbd6e8a4b3;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;nest::::packages/testing/package.json::::peerDependencies::::@nestjs/common::::@nestjs/common:^7.0.0 <-> nest::::packages/websockets/package.json::::devDependencies::::@nestjs/common::::@nestjs/common:^7.0.0;packages/websockets/package.json;nest::::packages/websockets/package.json::::devDependencies::::@nestjs/common(location: 19);git show d875526a494e0e4ba0f94186a3ce1968e1ef776a -- packages/websockets/package.json;yes;library version changed;version number
0ff53b20572f191fb2839d8cc4c50884483af76c;0e2125c8b8703529e129df809fd37867e0e6a25e;f78f02ae57c79dda2ab9b34203a82165;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;nest::::package.json::::version::::version:8.3.1 <-> nest::::packages/platform-fastify/package.json::::version::::version:8.3.1;packages/platform-fastify/package.json;nest::::packages/platform-fastify/package.json::::version(location: 3);git show 0ff53b20572f191fb2839d8cc4c50884483af76c -- packages/platform-fastify/package.json;yes;file version changed;version number
