occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;notes;type
558315e06bddf385436c30476b6d6c29f68e4654;4679ccb3e80837883200bf0a8a180b16b2d5ebb4;54a67305fdf556e3f255a5cdbbfa0a5f;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vscode::::build/builtin/package.json::::version::::version:0.1.0 <-> vscode::::extensions/python/package.json::::version::::version:0.1.0;extensions/python/package.json;vscode::::extensions/python/package.json::::version(location: 5);git show 558315e06bddf385436c30476b6d6c29f68e4654 -- extensions/python/package.json;yes;files version changed;version number
61892fc22339ed4434f04d00fe84ec088ef1e7a1;1324f8dbecbb8051df02166dc3165f4d81b85dfe;eb6d058781e5e1ae8cd04be661feb23a;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;vscode::::build/lib/tsconfig.json::::compilerOptions::::target::::ES5 <-> vscode::::extensions/typescript/src/tsconfig.json::::compilerOptions::::target::::ES5;extensions/typescript/src/tsconfig.json;vscode::::extensions/typescript/src/tsconfig.json::::compilerOptions::::target(location: 4);git show 61892fc22339ed4434f04d00fe84ec088ef1e7a1 -- extensions/typescript/src/tsconfig.json;yes;compilerOptions target changed;unknown
89a5ea70759a81d990b6959a81176c9742448ca0;1023dfe5ec4314255bec82e44b4c016233ce5775;ef1c8db12329c250c51adb6251e9fa74;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vscode::::extensions/csharp-o/package.json::::engines::::vscode::::vscode:* <-> vscode::::extensions/perl/package.json::::engines::::vscode::::vscode:*;extensions/csharp-o/package.json;vscode::::extensions/csharp-o/package.json::::engines::::vscode(location: 4);git show 89a5ea70759a81d990b6959a81176c9742448ca0 -- extensions/csharp-o/package.json;yes;engine version changed;version number
2591673b19bec316ba91653dba7d35ba293fed80;e0a0feef50709fd9272bdc317d4cd85888c584eb;9bcb07ccd48b9cf12c843c8007b2ae84;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vscode::::extensions/html/package.json::::dependencies::::vscode-nls::::vscode-nls:^1.0.7 <-> vscode::::extensions/json/package.json::::dependencies::::vscode-nls::::vscode-nls:^1.0.7;extensions/json/package.json;vscode::::extensions/json/package.json::::dependencies::::vscode-nls(location: 117);git show 2591673b19bec316ba91653dba7d35ba293fed80 -- extensions/json/package.json;yes;library version changed;version number
7aa5b7d4a749933aa676e6e15a1213c9d4048262;99e7142873e1883eec201df5d5c21c728bbacfaf;1dcb83318079053b52ea4bde763ec32e;ModifiedOptionConflict;ConfigType.COMMAND<->ConfigType.COMMAND;vscode::::extensions/css/server/package.json::::scripts::::install-server-next::::npm install vscode-languageserver@next -f -S <-> vscode::::extensions/html/server/package.json::::scripts::::install-server-next::::npm install vscode-languageserver@next -f -S;extensions/html/server/package.json;vscode::::extensions/html/server/package.json::::scripts::::install-server-next(location: 26);git show 7aa5b7d4a749933aa676e6e15a1213c9d4048262 -- extensions/html/server/package.json;yes;command for install-server-next changed;command
cb2706751f67bb010bb000b62bc2eb702e11fc32;bd3db713d5c84f35e8f20e28be894a4d1a88cf34;5d1600463a4328981230e64af26b1b58;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vscode::::extensions/css-language-features/package.json::::dependencies::::vscode-languageclient::::vscode-languageclient:^5.3.0-next.6 <-> vscode::::extensions/html-language-features/package.json::::dependencies::::vscode-languageclient::::vscode-languageclient:^5.3.0-next.6;extensions/css-language-features/package.json;vscode::::extensions/css-language-features/package.json::::dependencies::::vscode-languageclient(location: 762);git show cb2706751f67bb010bb000b62bc2eb702e11fc32 -- extensions/css-language-features/package.json;yes;library version changed;version number
6b8db99ebb384f39c051ed7a62743a10ec7f7bb2;b840a06ae8033df67be64a417089939815801a3e;9b6160a78e119e5fc9e1c078fe72d117;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vscode::::extensions/debug-server-ready/package.json::::dependencies::::vscode-nls::::vscode-nls:^4.0.0 <-> vscode::::extensions/merge-conflict/package.json::::dependencies::::vscode-nls::::vscode-nls:^4.0.0;extensions/merge-conflict/package.json;vscode::::extensions/merge-conflict/package.json::::dependencies::::vscode-nls(location: 159);git show 6b8db99ebb384f39c051ed7a62743a10ec7f7bb2 -- extensions/merge-conflict/package.json;yes;library version changed;version number
8bf2f6ac8c0358a4287803752792ffab3c32dbe8;3c042bac2586b1b1252a9872c1e76d89dfd5cd8f;5790f94a0f039ef2d05b28cdbae3c77d;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vscode::::build/package.json::::devDependencies::::typescript::::typescript:3.7.2 <-> vscode::::extensions/package.json::::dependencies::::typescript::::typescript:3.7.2;extensions/package.json;vscode::::extensions/package.json::::dependencies::::typescript(location: 6);git show 8bf2f6ac8c0358a4287803752792ffab3c32dbe8 -- extensions/package.json;yes;library version changed;version number
1d746c60888c895828af63d08e35fe2e26c8290c;661bec49d338bc89e09d972857ad3b9f1955021d;f5584c20bec557bffc1d288b1e79f5ae;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vscode::::extensions/css/server/package.json::::dependencies::::vscode-languageserver::::vscode-languageserver:^2.4.0-next.4 <-> vscode::::extensions/json/server/package.json::::dependencies::::vscode-languageserver::::vscode-languageserver:^2.4.0-next.4;extensions/css/server/package.json;vscode::::extensions/css/server/package.json::::dependencies::::vscode-languageserver(location: 12);git show 1d746c60888c895828af63d08e35fe2e26c8290c -- extensions/css/server/package.json;yes;library version changed;version number
3f3582c0c279b08b4cff94a3a24ca37a7ba910f8;5c470b4c5da8b2aa7822c0ada0c7f8a9d14145ef;e33ed2a55b2caea10991517b3c812833;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vscode::::extensions/css-language-features/server/package.json::::dependencies::::vscode-css-languageservice::::vscode-css-languageservice:^4.0.2 <-> vscode::::extensions/html-language-features/server/package.json::::dependencies::::vscode-css-languageservice::::vscode-css-languageservice:^4.0.2;extensions/css-language-features/server/package.json;vscode::::extensions/css-language-features/server/package.json::::dependencies::::vscode-css-languageservice(location: 12);git show 3f3582c0c279b08b4cff94a3a24ca37a7ba910f8 -- extensions/css-language-features/server/package.json;yes;library version changed;version number
558315e06bddf385436c30476b6d6c29f68e4654;4679ccb3e80837883200bf0a8a180b16b2d5ebb4;c39acec51052fd513ca812818b2320f0;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vscode::::build/builtin/package.json::::version::::version:0.1.0 <-> vscode::::extensions/coffeescript/package.json::::version::::version:0.1.0;extensions/coffeescript/package.json;vscode::::extensions/coffeescript/package.json::::version(location: 5);git show 558315e06bddf385436c30476b6d6c29f68e4654 -- extensions/coffeescript/package.json;yes;files version changed;version number
