occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;notes
c8f8b652b9ef5bb1effffd60c2acf368bc39a33b;9e5f75658fc843b26fd3746d85e6e4b830b9a949;e2e96f4437f1c4e830c20978da4445fd;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;create-react-app::::package.json::::devDependencies::::fs-extra::::fs-extra:^9.0.1 <-> create-react-app::::packages/react-scripts/package.json::::dependencies::::fs-extra::::fs-extra:^9.0.1;packages/react-scripts/package.json;create-react-app::::packages/react-scripts/package.json::::dependencies::::fs-extra(location: 50);git show c8f8b652b9ef5bb1effffd60c2acf368bc39a33b -- packages/react-scripts/package.json;yes;library version changed
47bf4599de3943e2533974d301f40fe738ccc1d6;8999013bd835695ba1d6ca5a9470577811ed868a;1a651def5d37970c6cea3bfd7a8839d7;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;create-react-app::::packages/react-error-overlay/package.json::::devDependencies::::eslint-plugin-jsx-a11y::::eslint-plugin-jsx-a11y:6.0.3 <-> create-react-app::::packages/react-scripts/package.json::::dependencies::::eslint-plugin-jsx-a11y::::eslint-plugin-jsx-a11y:6.0.3;packages/react-scripts/package.json;create-react-app::::packages/react-scripts/package.json::::dependencies::::eslint-plugin-jsx-a11y(location: 44);git show 47bf4599de3943e2533974d301f40fe738ccc1d6 -- packages/react-scripts/package.json;yes;library version changed
d67bd80b84b564feafda36e54f5d50ab01938c08;7e1daec99b76561b1f6d567dd7bbeb490ca21848;d594e831e33b800b465e8341ee427f87;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;create-react-app::::global-cli/package.json::::version::::version:0.3.0 <-> create-react-app::::package.json::::version::::version:0.3.0;package.json;create-react-app::::package.json::::version(location: 3);git show d67bd80b84b564feafda36e54f5d50ab01938c08 -- package.json;yes;file version changed
3c28750592b42dfd2b2f0af432419a736386d9dc;0b011dc8a3d02a5f5bd9954a924b6cd2541e853d;e6b8d3ac090d3e8b9bfd70444b922f7e;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;create-react-app::::packages/react-error-overlay/package.json::::devDependencies::::@babel/core::::@babel/core:7.1.0 <-> create-react-app::::packages/react-scripts/package.json::::dependencies::::@babel/core::::@babel/core:7.1.0;packages/react-scripts/package.json;create-react-app::::packages/react-scripts/package.json::::dependencies::::@babel/core(location: 27);git show 3c28750592b42dfd2b2f0af432419a736386d9dc -- packages/react-scripts/package.json;yes;library version changed
47bf4599de3943e2533974d301f40fe738ccc1d6;8999013bd835695ba1d6ca5a9470577811ed868a;00b2db80504bcb937af974fcbb850359;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;create-react-app::::packages/react-error-overlay/package.json::::devDependencies::::eslint-plugin-react::::eslint-plugin-react:7.8.2 <-> create-react-app::::packages/react-scripts/package.json::::dependencies::::eslint-plugin-react::::eslint-plugin-react:7.8.2;packages/react-scripts/package.json;create-react-app::::packages/react-scripts/package.json::::dependencies::::eslint-plugin-react(location: 45);git show 47bf4599de3943e2533974d301f40fe738ccc1d6 -- packages/react-scripts/package.json;yes;library version changed
c8f8b652b9ef5bb1effffd60c2acf368bc39a33b;9e5f75658fc843b26fd3746d85e6e4b830b9a949;6273bea15ae96f40721dcb277e095d64;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;create-react-app::::packages/create-react-app/package.json::::dependencies::::semver::::semver:7.3.2 <-> create-react-app::::packages/react-scripts/package.json::::dependencies::::semver::::semver:7.3.2;packages/react-scripts/package.json;create-react-app::::packages/react-scripts/package.json::::dependencies::::semver(location: 70);git show c8f8b652b9ef5bb1effffd60c2acf368bc39a33b -- packages/react-scripts/package.json;yes;library version changed
e34b51519fea664560ae40ed68d782e55e3dff9e;dc578da5da7f9ac78b20367084013aedbe3255bd;a18a129f25cd1309001a5331d5f6439d;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;create-react-app::::packages/eslint-config-react-app/package.json::::peerDependencies::::babel-eslint::::babel-eslint:7.0.0 <-> create-react-app::::packages/react-scripts/package.json::::dependencies::::babel-eslint::::babel-eslint:7.0.0;packages/eslint-config-react-app/package.json;create-react-app::::packages/eslint-config-react-app/package.json::::peerDependencies::::babel-eslint(location: 14);git show e34b51519fea664560ae40ed68d782e55e3dff9e -- packages/eslint-config-react-app/package.json;yes;library version changed
509c5ff38462bdecad61544d72732d63e1f5ba7b;5ab7d8c41a7d9131a5d1e8c45ea914a2582e1e77;4f39fc952cd0ac3793ffff1181e7b154;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;create-react-app::::packages/react-error-overlay/package.json::::dependencies::::react-dev-utils::::react-dev-utils:^0.5.2 <-> create-react-app::::packages/react-scripts/package.json::::dependencies::::react-dev-utils::::react-dev-utils:^0.5.2;packages/react-scripts/package.json;create-react-app::::packages/react-scripts/package.json::::dependencies::::react-dev-utils(location: 56);git show 509c5ff38462bdecad61544d72732d63e1f5ba7b -- packages/react-scripts/package.json;yes;library version changed
3fe2dcd5be339f5977df31bca794ab94bf7ff566;2d11bf92920f59bbdb9d22e00555f19577aa348a;c6c612734107626b1e00df5bb4a629dc;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;create-react-app::::packages/react-error-overlay/package.json::::devDependencies::::eslint-plugin-react::::eslint-plugin-react:7.17.0 <-> create-react-app::::packages/react-scripts/package.json::::dependencies::::eslint-plugin-react::::eslint-plugin-react:7.17.0;packages/react-scripts/package.json;create-react-app::::packages/react-scripts/package.json::::dependencies::::eslint-plugin-react(location: 51);git show 3fe2dcd5be339f5977df31bca794ab94bf7ff566 -- packages/react-scripts/package.json;yes;library version changed
c8f8b652b9ef5bb1effffd60c2acf368bc39a33b;9e5f75658fc843b26fd3746d85e6e4b830b9a949;c77d8605fad4905263bd95564b469039;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;create-react-app::::packages/create-react-app/package.json::::dependencies::::prompts::::prompts:2.4.0 <-> create-react-app::::packages/react-scripts/package.json::::dependencies::::prompts::::prompts:2.4.0;packages/react-scripts/package.json;create-react-app::::packages/react-scripts/package.json::::dependencies::::prompts(location: 63);git show c8f8b652b9ef5bb1effffd60c2acf368bc39a33b -- packages/react-scripts/package.json;yes;library version changed
