occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;notes;type
cd0036d2c0dea964ef79ecc68aa4612271e4be05;016d5e42bafc3ccd9625e292a502e4af24554e04;078e0b22eae356b3bcece176e905e963;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::package.json::::devDependencies::::react-dom::::react-dom:^16.8.0 <-> material-ui::::packages/material-ui-styles/package.json::::peerDependencies::::react-dom::::react-dom:^16.8.0;package.json;material-ui::::package.json::::devDependencies::::react-dom(location: 61);git show cd0036d2c0dea964ef79ecc68aa4612271e4be05 -- package.json;yes;library version changed;version number
9a14c20b40353bad0d224f175d679cdc9a5c9a97;d1304d9479cdc6573abf4f65f88821882768f2b4;b701bef5780e8fdd17d5ca1dfe54e587;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::package.json::::devDependencies::::mocha::::mocha:^3.5.3 <-> material-ui::::packages/material-ui-codemod/package.json::::devDependencies::::mocha::::mocha:^3.5.3;package.json;material-ui::::package.json::::devDependencies::::mocha(location: 145);git show 9a14c20b40353bad0d224f175d679cdc9a5c9a97 -- package.json;yes;library version changed;version number
5dc503c63ebef8269548d6cdbc08bfa2d000ce2f;b75e24949b451c68db0190d76cd31c8bd528d03c;f8223b6e565a44bfb49a3ecca02100ad;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::packages/material-ui-icons/package.json::::version::::version:1.0.0-beta.43 <-> material-ui::::packages/material-ui/package.json::::version::::version:1.0.0-beta.43;packages/material-ui/package.json;material-ui::::packages/material-ui/package.json::::version(location: 5);git show 5dc503c63ebef8269548d6cdbc08bfa2d000ce2f -- packages/material-ui/package.json;yes;file version changed;version number
25071046cea309347eedcc1f876c5b0e01aed3cd;4d3d9c5a4f39a6bc9c1182a0ceed88064d841a3f;f92b42b6c4ae0b824487942ba7730625;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::framer/Material-UI.framerfx/package.json::::peerDependencies::::@types/react::::@types/react:^16.8.6 <-> material-ui::::packages/material-ui-docs/package.json::::peerDependencies::::@types/react::::@types/react:^16.8.6;packages/material-ui-docs/package.json;material-ui::::packages/material-ui-docs/package.json::::peerDependencies::::@types/react(location: 36);git show 25071046cea309347eedcc1f876c5b0e01aed3cd -- packages/material-ui-docs/package.json;yes;library version changed;version number
bdeacaef6b0c68c1630acf84ed5aa394da5ced0e;dc9fd5bf9b7e8198c106f062935d6c0d672235a4;1b3a74c99c10275ab5fd76d6363cd6df;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::package.json::::devDependencies::::cross-env::::cross-env:^5.0.1 <-> material-ui::::packages/material-ui-icons/package.json::::devDependencies::::cross-env::::cross-env:^5.0.1;package.json;material-ui::::package.json::::devDependencies::::cross-env(location: 103);git show bdeacaef6b0c68c1630acf84ed5aa394da5ced0e -- package.json;yes;library version changed;version number
86b6ad0819ebfd6f4ddc8ce152c02395d3fd569e;6a024245d055fc757c462b6bf99b7c46d2901810;5b62a2f65308b42bdfaf88268e9b2c35;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::docs/package.json::::devDependencies::::@babel/plugin-transform-react-constant-elements::::@babel/plugin-transform-react-constant-elements:^7.8.3 <-> material-ui::::package.json::::devDependencies::::@babel/plugin-transform-react-constant-elements::::@babel/plugin-transform-react-constant-elements:^7.8.3;package.json;material-ui::::package.json::::devDependencies::::@babel/plugin-transform-react-constant-elements(location: 52);git show 86b6ad0819ebfd6f4ddc8ce152c02395d3fd569e -- package.json;yes;library version changed;version number
f3fa46ae4282e3f8e7bfec7c04d442e029371a40;fd9dd004315aef9c4ae0aee598393d05f58e6a4c;8a97f216795943494d1a3480a1e3255f;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::package.json::::devDependencies::::@emotion/react::::@emotion/react:^11.5.0 <-> material-ui::::packages/mui-material/package.json::::peerDependencies::::@emotion/react::::@emotion/react:^11.5.0;package.json;material-ui::::package.json::::devDependencies::::@emotion/react(location: 78);git show f3fa46ae4282e3f8e7bfec7c04d442e029371a40 -- package.json;yes;library version changed;version number
5756b01b2f0f6dc76980f1aae538ed6568c44af6;45845b3b283a3e1556cf338856ba8a1e0a143103;6c58e1813ccef2076a11385defb3c51c;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::packages/material-ui-lab/package.json::::version::::version:4.0.0-alpha.6 <-> material-ui::::packages/material-ui-styles/package.json::::version::::version:4.0.0-alpha.6;packages/material-ui-styles/package.json;material-ui::::packages/material-ui-styles/package.json::::version(location: 5);git show 5756b01b2f0f6dc76980f1aae538ed6568c44af6 -- packages/material-ui-styles/package.json;yes;file version changed;version number
be4b705bacc37dc9d4744c0ab5b7bbe06e66479b;0540d13c558613d4661cb95845f065a2fe7968d6;3317685905aa63686fcb68fdedc9d542;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::package.json::::version::::version:4.9.1 <-> material-ui::::packages/material-ui-system/package.json::::version::::version:4.9.1;package.json;material-ui::::package.json::::version(location: 2);git show be4b705bacc37dc9d4744c0ab5b7bbe06e66479b -- package.json;yes;file version changed;version number
671d4c1686b684e3cfa98b607bb555ed69fffc8c;204f74122f52990211005e27b3577f88e5e51276;5519edfa72c9da3f2892e104697225ff;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::packages/material-ui-lab/package.json::::dependencies::::@material-ui/utils::::@material-ui/utils:^4.9.6 <-> material-ui::::packages/material-ui-system/package.json::::dependencies::::@material-ui/utils::::@material-ui/utils:^4.9.6;packages/material-ui-lab/package.json;material-ui::::packages/material-ui-lab/package.json::::dependencies::::@material-ui/utils(location: 49);git show 671d4c1686b684e3cfa98b607bb555ed69fffc8c -- packages/material-ui-lab/package.json;yes;library version changed;version number
