occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;note;categroy
91efecdc7c4c98235a01977350ac657bb0342469;bfd09aea661a514d67dcaf6c4a99ef728679cd58;9eb764ad1a063014f7197d233b1d5d6c;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;deno::::cli/Cargo.toml::::dependencies::::deno_doc::::0.2.1 <-> deno::::runtime/Cargo.toml::::dependencies::::deno_console::::version::::0.2.1;runtime/Cargo.toml;deno::::runtime/Cargo.toml::::dependencies::::deno_console::::version(location: None);git show 91efecdc7c4c98235a01977350ac657bb0342469 -- runtime/Cargo.toml;no;different options same version;obvious no conflict
a06e53b397ece652331c7c4f489a51c3ad023ecf;c74da3724c05cebbd1ecfda0ed7aa39ab438b78d;4d7240acf52b9d420857c90a13ee23a0;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;deno::::cli/Cargo.toml::::dependencies::::deno_lint::::0.1.15 <-> deno::::std/encoding/testdata/cargo.toml::::dependencies::::tokio::::0.1.15;cli/Cargo.toml;deno::::cli/Cargo.toml::::dependencies::::deno_lint(location: 23);git show a06e53b397ece652331c7c4f489a51c3ad023ecf -- cli/Cargo.toml;no;different options same version;obvious no conflict
a2e4984f5e3ef7c1520ca06ded99e516399b9fbd;043ef30b4a957f3862afca41bdf80b57d3c33e1e;0f8b8b45d502894702687f10f2f797b4;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;deno::::cli/Cargo.toml::::dependencies::::deno_lint::::version::::0.2.0 <-> deno::::op_crates/fetch/Cargo.toml::::package::::version::::0.2.0;op_crates/fetch/Cargo.toml;deno::::op_crates/fetch/Cargo.toml::::package::::version(location: 5);git show a2e4984f5e3ef7c1520ca06ded99e516399b9fbd -- op_crates/fetch/Cargo.toml;no;different options same version;obvious no conflict
bf934b187fa0f1daf4df2fece3bc03788c5bd015;ae5ded41d12457e747974fa852a68fad84d87cac;315dce4aeb2d1948b861ad7ba62ec250;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;deno::::extensions/webgpu/Cargo.toml::::dependencies::::wgpu-core::::version::::0.8.1 <-> deno::::runtime/Cargo.toml::::build-dependencies::::deno_webgpu::::version::::0.8.1;runtime/Cargo.toml;deno::::runtime/Cargo.toml::::build-dependencies::::deno_webgpu::::version(location: 74);git show bf934b187fa0f1daf4df2fece3bc03788c5bd015 -- runtime/Cargo.toml;no;different options same version;obvious no conflict
bf934b187fa0f1daf4df2fece3bc03788c5bd015;ae5ded41d12457e747974fa852a68fad84d87cac;336e24c6eaea119aa83e39c21770d0e8;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;deno::::cli/Cargo.toml::::dependencies::::data-url::::0.1.0 <-> deno::::extensions/url/Cargo.toml::::dev-dependencies::::deno_bench_util::::version::::0.1.0;extensions/url/Cargo.toml;deno::::extensions/url/Cargo.toml::::dev-dependencies::::deno_bench_util::::version(location: None);git show bf934b187fa0f1daf4df2fece3bc03788c5bd015 -- extensions/url/Cargo.toml;no;different options same version;obvious no conflict
c1380515807e00647a38a451f86f29ec777663f1;9b966d19eae2011941800e5fd8884f18e94d7d95;6171119c1d17e925bd02246fc4c151ac;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;deno::::runtime/Cargo.toml::::target::::cfg(windows)::::dependencies::::winapi::::version::::0.3.9 <-> deno::::test_util/Cargo.toml::::dependencies::::futures::::0.3.9;test_util/Cargo.toml;deno::::test_util/Cargo.toml::::dependencies::::futures(location: 17);git show c1380515807e00647a38a451f86f29ec777663f1 -- test_util/Cargo.toml;no;different options same version;obvious no conflict
c4c48681acfc57b7337e2e0b5ca5ae647083fd1a;58a421b4e91a946acc1f099f98b3516bf2ab4aee;498e8b67c50f540bf4f495395e7add47;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;deno::::extensions/broadcast_channel/Cargo.toml::::dependencies::::deno_core::::version::::0.88.0 <-> deno::::extensions/web/Cargo.toml::::dependencies::::deno_core::::version::::0.88.0;extensions/web/Cargo.toml;deno::::extensions/web/Cargo.toml::::dependencies::::deno_core::::version(location: None);git show c4c48681acfc57b7337e2e0b5ca5ae647083fd1a -- extensions/web/Cargo.toml;yes;library;version number
c4c48681acfc57b7337e2e0b5ca5ae647083fd1a;58a421b4e91a946acc1f099f98b3516bf2ab4aee;33a1da66373b84f8938c8ff152a1215e;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;deno::::cli/Cargo.toml::::dependencies::::deno_lint::::0.5.0 <-> deno::::extensions/timers/Cargo.toml::::package::::version::::0.5.0;extensions/timers/Cargo.toml;deno::::extensions/timers/Cargo.toml::::package::::version(location: 5);git show c4c48681acfc57b7337e2e0b5ca5ae647083fd1a -- extensions/timers/Cargo.toml;no;different options same version;obvious no conflict
c4c48681acfc57b7337e2e0b5ca5ae647083fd1a;58a421b4e91a946acc1f099f98b3516bf2ab4aee;97a5d46adcc2f6439d628b4f3702e185;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;deno::::extensions/broadcast_channel/Cargo.toml::::dependencies::::deno_core::::version::::0.88.0 <-> deno::::extensions/webidl/Cargo.toml::::dependencies::::deno_core::::version::::0.88.0;extensions/webidl/Cargo.toml;deno::::extensions/webidl/Cargo.toml::::dependencies::::deno_core::::version(location: None);git show c4c48681acfc57b7337e2e0b5ca5ae647083fd1a -- extensions/webidl/Cargo.toml;yes;library;version number
c4c48681acfc57b7337e2e0b5ca5ae647083fd1a;58a421b4e91a946acc1f099f98b3516bf2ab4aee;82ab07e855160b973a53e515e619e6be;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;deno::::cli/Cargo.toml::::dependencies::::deno_doc::::0.4.0 <-> deno::::serde_v8/Cargo.toml::::package::::version::::0.4.0;serde_v8/Cargo.toml;deno::::serde_v8/Cargo.toml::::package::::version(location: 4);git show c4c48681acfc57b7337e2e0b5ca5ae647083fd1a -- serde_v8/Cargo.toml;no;different options same version;obvious no conflict
c7039b8c1e8160503458d59c9dc56e01c651d36b;a4f9127315e87d164d2295c197ef7ec2aa377ea7;e6a774c5ed3d786e4fbdc3459bb472b0;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;deno::::runtime/Cargo.toml::::build-dependencies::::deno_crypto::::version::::0.5.0 <-> deno::::std/encoding/testdata/cargo.toml::::dependencies::::source-map-mappings::::0.5.0;runtime/Cargo.toml;deno::::runtime/Cargo.toml::::build-dependencies::::deno_crypto::::version(location: 50);git show c7039b8c1e8160503458d59c9dc56e01c651d36b -- runtime/Cargo.toml;no;different options same version;obvious no conflict
c7039b8c1e8160503458d59c9dc56e01c651d36b;a4f9127315e87d164d2295c197ef7ec2aa377ea7;9c77f9b05579f00aae87ac15899021b6;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;deno::::core/Cargo.toml::::dependencies::::rusty_v8::::0.14.0 <-> deno::::op_crates/fetch/Cargo.toml::::package::::version::::0.14.0;op_crates/fetch/Cargo.toml;deno::::op_crates/fetch/Cargo.toml::::package::::version(location: 5);git show c7039b8c1e8160503458d59c9dc56e01c651d36b -- op_crates/fetch/Cargo.toml;no;different options same version;obvious no conflict
c7039b8c1e8160503458d59c9dc56e01c651d36b;a4f9127315e87d164d2295c197ef7ec2aa377ea7;be84df5e75fccb5163d11b483e463f54;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;deno::::cli/Cargo.toml::::dependencies::::lsp-server::::0.5.0 <-> deno::::op_crates/crypto/Cargo.toml::::package::::version::::0.5.0;op_crates/crypto/Cargo.toml;deno::::op_crates/crypto/Cargo.toml::::package::::version(location: 5);git show c7039b8c1e8160503458d59c9dc56e01c651d36b -- op_crates/crypto/Cargo.toml;no;different options same version;obvious no conflict
d3197c61fa4514051543e708a320ee2234269f3d;a368ac1a275a4b2a89236d5a81842dce5fa3b54a;9c758f4c3ad3cf3bdbfa08cccf846d94;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;deno::::op_crates/webidl/Cargo.toml::::package::::version::::0.1.0 <-> deno::::test_util/Cargo.toml::::package::::version::::0.1.0;op_crates/webidl/Cargo.toml;deno::::op_crates/webidl/Cargo.toml::::package::::version(location: 5);git show d3197c61fa4514051543e708a320ee2234269f3d -- op_crates/webidl/Cargo.toml;yes;version;version number
d479c069574bc73aa44f053a8ddbd72f80f9f788;79b6e40260dc51669a429af437263caf6971b9f6;50186524d84554ed37fba2a4bbda5442;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;deno::::extensions/timers/Cargo.toml::::dependencies::::tokio::::version::::1.4.0 <-> deno::::runtime/Cargo.toml::::dependencies::::lazy_static::::1.4.0;extensions/timers/Cargo.toml;deno::::extensions/timers/Cargo.toml::::dependencies::::tokio::::version(location: None);git show d479c069574bc73aa44f053a8ddbd72f80f9f788 -- extensions/timers/Cargo.toml;no;different options same version;obvious no conflict
d69685d9a46701a472818b4e9787be33a634e1ba;78026126bd63f5320f81c91d74062bda5ba33f84;b26cb129de9b2bc82b6aaff98486e26b;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;deno::::cli/Cargo.toml::::dependencies::::rustyline-derive::::0.4.0 <-> deno::::extensions/file/Cargo.toml::::package::::version::::0.4.0;extensions/file/Cargo.toml;deno::::extensions/file/Cargo.toml::::package::::version(location: 5);git show d69685d9a46701a472818b4e9787be33a634e1ba -- extensions/file/Cargo.toml;no;different options same version;obvious no conflict
dce72bab94ae0571c56fdc10b94e15506bd0c899;3a0794a50e1a8aff4c680417df68409b1136e233;89dc25036f3811dc59998aad4f10da63;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;deno::::extensions/http/Cargo.toml::::dependencies::::base64::::0.13.0 <-> deno::::runtime/Cargo.toml::::dependencies::::deno_webgpu::::version::::0.13.0;runtime/Cargo.toml;deno::::runtime/Cargo.toml::::dependencies::::deno_webgpu::::version(location: None);git show dce72bab94ae0571c56fdc10b94e15506bd0c899 -- runtime/Cargo.toml;no;different options same version;obvious no conflict
dce72bab94ae0571c56fdc10b94e15506bd0c899;3a0794a50e1a8aff4c680417df68409b1136e233;3d470978cf5454b1d51f9301167365e6;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;deno::::cli/Cargo.toml::::target::::cfg(unix)::::dev-dependencies::::nix::::0.20.0 <-> deno::::runtime/Cargo.toml::::package::::version::::0.20.0;runtime/Cargo.toml;deno::::runtime/Cargo.toml::::package::::version(location: 5);git show dce72bab94ae0571c56fdc10b94e15506bd0c899 -- runtime/Cargo.toml;no;different options same version;obvious no conflict
ed88cfb89d6ab0c68f5a4b3cf8db9b4a8c06f9f5;19886de65b7a531ddb368c3b3e9390255cbf57a7;45fb2376b8e396c9f5b3e091ec1de1ae;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;deno::::cli/Cargo.toml::::dev-dependencies::::trust-dns-server::::0.20.0 <-> deno::::runtime/Cargo.toml::::target::::cfg(unix)::::dependencies::::nix::::0.20.0;cli/Cargo.toml;deno::::cli/Cargo.toml::::dev-dependencies::::trust-dns-server(location: 92);git show ed88cfb89d6ab0c68f5a4b3cf8db9b4a8c06f9f5 -- cli/Cargo.toml;no;different options same version;obvious no conflict
