,name,url,stars
176,architecture-samples,https://github.com/android/architecture-samples,40996
177,babel,https://github.com/babel/babel,40983
178,parcel,https://github.com/parcel-bundler/parcel,40869
179,awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,40849
180,design-resources-for-developers,https://github.com/bradtraversy/design-resources-for-developers,40865
181,nuxt.js,https://github.com/nuxt/nuxt.js,40714
182,yarn,https://github.com/yarnpkg/yarn,40685
183,Ghost,https://github.com/TryGhost/Ghost,40470
184,awesome-courses,https://github.com/prakhar1989/awesome-courses,40475
185,build-web-application-with-golang,https://github.com/astaxie/build-web-application-with-golang,40406
186,gogs,https://github.com/gogs/gogs,40340
187,etcd,https://github.com/etcd-io/etcd,40224
188,retrofit,https://github.com/square/retrofit,40087
189,alacritty,https://github.com/alacritty/alacritty,39843
190,v2ray-core,https://github.com/v2ray/v2ray-core,39776
191,SecLists,https://github.com/danielmiessler/SecLists,39644
192,awesome-ios,https://github.com/vsouza/awesome-ios,39615
193,julia,https://github.com/JuliaLang/julia,39612
194,DefinitelyTyped,https://github.com/DefinitelyTyped/DefinitelyTyped,39570
195,jest,https://github.com/facebook/jest,39376
196,dayjs,https://github.com/iamkun/dayjs,39286
197,playwright,https://github.com/microsoft/playwright,39185
198,imgui,https://github.com/ocornut/imgui,39117
199,obs-studio,https://github.com/obsproject/obs-studio,39031
200,fastlane,https://github.com/fastlane/fastlane,35075
201,hexo,https://github.com/hexojs/hexo,34935
202,PythonDataScienceHandbook,https://github.com/jakevdp/PythonDataScienceHandbook,34922
203,openpilot,https://github.com/commaai/openpilot,34889
204,Leaflet,https://github.com/Leaflet/Leaflet,34771
205,grpc,https://github.com/grpc/grpc,34657
206,supabase,https://github.com/supabase/supabase,34495
207,vuetify,https://github.com/vuetifyjs/vuetify,34499
208,react,https://github.com/typescript-cheatsheets/react,34390
209,trackerslist,https://github.com/ngosang/trackerslist,34309
210,what-happens-when,https://github.com/alex/what-happens-when,34309
211,design-patterns-for-humans,https://github.com/kamranahmedse/design-patterns-for-humans,34304
212,front-end-interview-handbook,https://github.com/yangshun/front-end-interview-handbook,34282
213,CppCoreGuidelines,https://github.com/isocpp/CppCoreGuidelines,34266
214,pandas,https://github.com/pandas-dev/pandas,34222
215,slate,https://github.com/slatedocs/slate,34188
216,php-src,https://github.com/php/php-src,33934
217,frontend-dev-bookmarks,https://github.com/dypsilon/frontend-dev-bookmarks,33889
218,interview_internal_reference,https://github.com/0voice/interview_internal_reference,33802
219,fullPage.js,https://github.com/alvarotrigo/fullPage.js,33698
220,python-patterns,https://github.com/faif/python-patterns,33689
221,minio,https://github.com/minio/minio,33643
222,tabby,https://github.com/Eugeny/tabby,33630
223,brackets,https://github.com/adobe/brackets,33609
224,video.js,https://github.com/videojs/video.js,33461
225,hackathon-starter,https://github.com/sahat/hackathon-starter,33397
226,rclone,https://github.com/rclone/rclone,33322
227,AFNetworking,https://github.com/AFNetworking/AFNetworking,33314
228,shadowsocks,https://github.com/shadowsocks/shadowsocks,33194
229,spark,https://github.com/apache/spark,33157
230,d2l-zh,https://github.com/d2l-ai/d2l-zh,33075
231,terraform,https://github.com/hashicorp/terraform,33025
232,lerna,https://github.com/lerna/lerna,32906
233,quill,https://github.com/quilljs/quill,32905
234,lottie-android,https://github.com/airbnb/lottie-android,32851
235,caffe,https://github.com/BVLC/caffe,32686
236,glide,https://github.com/bumptech/glide,32671
237,deeplearningbook-chinese,https://github.com/exacity/deeplearningbook-chinese,32673
238,marktext,https://github.com/marktext/marktext,32683
239,shadowsocks-android,https://github.com/shadowsocks/shadowsocks-android,32616
240,gulp,https://github.com/gulpjs/gulp,32551
241,project-layout,https://github.com/golang-standards/project-layout,32565
242,Rocket.Chat,https://github.com/RocketChat/Rocket.Chat,32497
243,brew,https://github.com/Homebrew/brew,32445
244,sherlock,https://github.com/sherlock-project/sherlock,32442
245,awesome-java,https://github.com/akullpp/awesome-java,32289
246,ant-design-pro,https://github.com/ant-design/ant-design-pro,32259
247,clipboard.js,https://github.com/zenorocha/clipboard.js,32246
248,wrk,https://github.com/wg/wrk,32211
249,esbuild,https://github.com/evanw/esbuild,32118
250,kong,https://github.com/Kong/kong,32185
251,immutable-js,https://github.com/immutable-js/immutable-js,32063
252,Motrix,https://github.com/agalwood/Motrix,31987
253,phaser,https://github.com/photonstorm/phaser,31897
254,preact,https://github.com/preactjs/preact,31834
255,clash_for_windows_pkg,https://github.com/Fndroid/clash_for_windows_pkg,31717
256,kubernetes-the-hard-way,https://github.com/kelseyhightower/kubernetes-the-hard-way,31509
257,awesome-react-native,https://github.com/jondot/awesome-react-native,31504
258,ripgrep,https://github.com/BurntSushi/ripgrep,31484
259,bert,https://github.com/google-research/bert,31457
260,swiper,https://github.com/nolimits4web/swiper,31443
261,XX-Net,https://github.com/XX-net/XX-Net,31252
262,pure-bash-bible,https://github.com/dylanaraps/pure-bash-bible,31212
263,sentry,https://github.com/getsentry/sentry,31104
264,jQuery-File-Upload,https://github.com/blueimp/jQuery-File-Upload,31066
265,wtfpython,https://github.com/satwikkansal/wtfpython,31033
266,hello-algorithm,https://github.com/geekxh/hello-algorithm,30993
267,android-open-project,https://github.com/Trinea/android-open-project,30956
268,AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,30945
269,styleguide,https://github.com/google/styleguide,30898
270,tutorials,https://github.com/eugenp/tutorials,30883
271,JavaFamily,https://github.com/AobingJava/JavaFamily,30942
272,gold-miner,https://github.com/xitu/gold-miner,30808
273,uBlock,https://github.com/gorhill/uBlock,30767
274,12306,https://github.com/testerSunshine/12306,30606
275,open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,30583
276,istio,https://github.com/istio/istio,30559
277,formik,https://github.com/jaredpalmer/formik,30575
278,gitea,https://github.com/go-gitea/gitea,30505
279,955.WLB,https://github.com/formulahendry/955.WLB,30489
280,open-source-ios-apps,https://github.com/dkhamsing/open-source-ios-apps,30475
281,drawio-desktop,https://github.com/jgraph/drawio-desktop,30559
282,sheetjs,https://github.com/SheetJS/sheetjs,30446
283,ShadowsocksX-NG,https://github.com/shadowsocks/ShadowsocksX-NG,30424
284,iina,https://github.com/iina/iina,30363
285,MadeWithML,https://github.com/GokuMohandas/MadeWithML,30237
286,FFmpeg,https://github.com/FFmpeg/FFmpeg,30119
287,excalidraw,https://github.com/excalidraw/excalidraw,30099
288,awesome-react-components,https://github.com/brillout/awesome-react-components,30088
289,react-use,https://github.com/streamich/react-use,30012
290,drawio,https://github.com/jgraph/drawio,29950
291,monaco-editor,https://github.com/microsoft/monaco-editor,29908
292,the-way-to-go_ZH_CN,https://github.com/unknwon/the-way-to-go_ZH_CN,29889
293,jeecg-boot,https://github.com/jeecgboot/jeecg-boot,29756
294,zxing,https://github.com/zxing/zxing,29716
295,v2rayN,https://github.com/2dust/v2rayN,29556
296,leveldb,https://github.com/google/leveldb,29485
297,mastodon,https://github.com/mastodon/mastodon,29475
298,hiring-without-whiteboards,https://github.com/poteto/hiring-without-whiteboards,29405
299,netty,https://github.com/netty/netty,29384
